order_id,product_id,discount,profits,quantity,sales
CA-2016-152156,FUR-BO-10001798,0.0,41.9136,2,261.96
CA-2016-152156,FUR-CH-10000454,0.0,219.582,3,731.94
CA-2016-138688,OFF-LA-10000240,0.0,6.8714,2,14.62
US-2015-108966,FUR-TA-10000577,0.45,-383.031,5,957.5775
US-2015-108966,OFF-ST-10000760,0.2,2.5164,2,22.368
CA-2014-115812,FUR-FU-10001487,0.0,14.1694,7,48.86
CA-2014-115812,OFF-AR-10002833,0.0,1.9656,4,7.28
CA-2014-115812,TEC-PH-10002275,0.2,90.7152,6,907.152
CA-2014-115812,OFF-BI-10003910,0.2,5.7825,3,18.504
CA-2014-115812,OFF-AP-10002892,0.0,34.47,5,114.9
CA-2014-115812,FUR-TA-10001539,0.2,85.3092,9,1706.184
CA-2014-115812,TEC-PH-10002033,0.2,68.3568,4,911.424
CA-2017-114412,OFF-PA-10002365,0.2,5.4432,3,15.552
CA-2016-161389,OFF-BI-10003656,0.2,132.5922,3,407.976
US-2015-118983,OFF-AP-10002311,0.8,-123.858,5,68.81
US-2015-118983,OFF-BI-10000756,0.8,-3.816,3,2.544
CA-2014-105893,OFF-ST-10004186,0.0,13.3176,6,665.88
CA-2014-167164,OFF-ST-10000107,0.0,9.99,2,55.5
CA-2014-143336,OFF-AR-10003056,0.0,2.4824,2,8.56
CA-2014-143336,TEC-PH-10001949,0.2,16.011,3,213.48
CA-2014-143336,OFF-BI-10002215,0.2,7.384,4,22.72
CA-2016-137330,OFF-AR-10000246,0.0,5.0596,7,19.46
CA-2016-137330,OFF-AP-10001492,0.0,15.6884,7,60.34
US-2017-156909,FUR-CH-10002774,0.3,-1.0196,2,71.372
CA-2015-106320,FUR-TA-10000577,0.0,240.2649,3,1044.63
CA-2016-121755,OFF-BI-10001634,0.2,4.2224,2,11.648
CA-2016-121755,TEC-AC-10003027,0.0,11.7741,3,90.57
US-2015-150630,FUR-BO-10004834,0.5,-1665.0522,7,3083.43
US-2015-150630,OFF-BI-10000474,0.7,-7.0532,2,9.618
US-2015-150630,FUR-FU-10004848,0.2,15.525,3,124.2
US-2015-150630,OFF-EN-10001509,0.2,1.1016,2,3.264
US-2015-150630,OFF-AR-10004042,0.2,9.7092,6,86.304
US-2015-150630,OFF-BI-10001525,0.7,-5.715,6,6.858
US-2015-150630,OFF-AR-10001683,0.2,3.546,2,15.76
CA-2017-107727,OFF-PA-10000249,0.2,9.9468,3,29.472
CA-2016-117590,TEC-PH-10004977,0.2,123.4737,7,1097.544
CA-2016-117590,FUR-FU-10003664,0.6,-147.963,5,190.92
CA-2015-117415,OFF-EN-10002986,0.2,35.415,9,113.328
CA-2015-117415,FUR-BO-10002545,0.32,-46.9764,3,532.3992
CA-2015-117415,FUR-CH-10004218,0.3,-15.147,3,212.058
CA-2015-117415,TEC-PH-10000486,0.2,41.7564,4,371.168
CA-2017-120999,TEC-PH-10004093,0.2,16.5564,4,147.168
CA-2016-101343,OFF-ST-10003479,0.0,3.894,2,77.88
CA-2017-139619,OFF-ST-10003282,0.2,9.5616,2,95.616
CA-2016-118255,TEC-AC-10000171,0.0,19.7714,2,45.98
CA-2016-118255,OFF-BI-10003291,0.0,8.2062,2,17.46
CA-2014-146703,OFF-ST-10001713,0.0,8.4784,4,211.96
CA-2016-169194,TEC-AC-10002167,0.0,4.95,3,45.0
CA-2016-169194,TEC-PH-10003988,0.0,6.104,2,21.8
CA-2015-115742,OFF-BI-10004410,0.0,17.9634,6,38.22
CA-2015-115742,OFF-LA-10002762,0.0,35.3346,6,75.18
CA-2015-115742,FUR-FU-10001706,0.0,2.9568,2,6.16
CA-2015-115742,FUR-CH-10003061,0.0,17.0981,1,89.99
CA-2016-105816,OFF-FA-10000304,0.0,6.2566,7,15.26
CA-2016-105816,TEC-PH-10002447,0.0,298.6855,5,1029.95
CA-2016-111682,OFF-ST-10000604,0.0,52.14,6,208.56
CA-2016-111682,OFF-PA-10001569,0.0,15.552,5,32.4
CA-2016-111682,FUR-CH-10003968,0.1,7.098,5,319.41
CA-2016-111682,OFF-PA-10000587,0.0,6.9888,2,14.56
CA-2016-111682,TEC-AC-10002167,0.0,3.3,2,30.0
CA-2016-111682,OFF-BI-10001460,0.2,16.362,4,48.48
CA-2016-111682,OFF-AR-10001868,0.0,0.84,1,1.68
CA-2015-135545,TEC-AC-10004633,0.0,6.1512,2,13.98
CA-2015-135545,OFF-BI-10001078,0.2,9.3612,6,25.824
CA-2015-135545,OFF-PA-10003892,0.0,68.9631,3,146.73
CA-2015-135545,FUR-FU-10000397,0.0,22.3328,4,79.76
US-2015-164175,FUR-CH-10001146,0.3,-15.2225,5,213.115
CA-2014-106376,OFF-AR-10002671,0.2,111.3024,8,1113.024
CA-2014-106376,TEC-PH-10002726,0.2,62.988,4,167.968
CA-2016-119823,OFF-PA-10000482,0.0,35.6636,2,75.88
CA-2016-106075,OFF-BI-10004654,0.2,1.731,1,4.616
CA-2017-114440,OFF-PA-10004675,0.0,8.763,3,19.05
